id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
580	Aster foliaceus	1400	3200	no	yes
581	Aster foliaceus var. lyallii	1500	2200	no	yes
582	Aster foliaceus var. parryi	1400	3200	no	yes
583	Aster frondosus	700	2200	no	yes
584	Aster greatae	800	1500	yes	yes
585	Aster integrifolius	1600	3200	no	yes
586	Aster lanceolatus ssp. hesperius	0	1500	no	yes
587	Aster ledophyllus	1300	1900	no	yes
588	Aster lentus	0	150	yes	yes
589	Aster occidentalis	1200	2800	no	yes
590	Aster occidentalis var. occidentalis	1200	2800	no	yes
591	Aster occidentalis var. yosemitanus	1200	2100	yes	yes
592	Aster oregonensis	800	2200	no	yes
593	Aster pauciflorus	200	700	no	yes
594	Aster peirsonii	3000	3800	yes	yes
595	Aster radulinus	150	1500	no	yes
596	Aster scopulorum	1500	3000	no	yes
597	Aster subulatus var. ligulatus	0	200	no	yes
598	Atrichoseris platyphylla	0	1400	no	yes
599	Baccharis brachyphylla	300	1200	no	yes
600	Baccharis douglasii	0	750	yes	yes
601	Baccharis emoryi	0	600	no	yes
602	Baccharis pilularis	0	750	no	yes
603	Baccharis plummerae	0	425	no	yes
604	Baccharis plummerae ssp. glabrata	0	100	yes	yes
605	Baccharis plummerae ssp. plummerae	0	100	yes	yes
606	Baccharis salicifolia	0	1250	no	yes
607	Baccharis sarothroides	0	850	no	yes
608	Baccharis sergiloides	600	1575	no	yes
609	Baccharis vanessae	60	335	yes	yes
610	Bahia dissecta	1800	2650	no	yes
611	Baileya multiradiata var. multiradiata	600	1600	no	yes
612	Baileya pauciradiata	0	1100	no	yes
613	Baileya pleniradiata	0	1500	no	yes
614	Balsamorhiza deltoidea	300	2400	no	yes
615	Balsamorhiza hirsuta	1450	1800	no	yes
616	Balsamorhiza hookeri var. lanata	800	1050	yes	yes
617	Balsamorhiza macrolepis	0	1800	no	yes
618	Balsamorhiza macrolepis var. macrolepis	0	1400	yes	yes
619	Balsamorhiza macrolepis var. platylepis	1300	1800	no	yes
620	Balsamorhiza sagittata	1400	2600	no	yes
621	Balsamorhiza sericea	1300	1800	yes	yes
622	Balsamorhiza serrata	1400	1500	no	yes
623	Bebbia juncea var. aspera	0	1500	no	yes
624	Bellis perennis	0	200	no	no
625	Bidens cernua var. cernua	0	2000	no	yes
626	Bidens frondosa	0	1600	no	yes
627	Bidens laevis	0	300	no	yes
628	Bidens pilosa var. pilosa	0	750	no	no
629	Bidens tripartita	50	1600	no	no
630	Bidens vulgata	0	300	no	no
631	Blennosperma bakeri	0	100	yes	yes
632	Blennosperma nanum	0	1600	no	yes
633	Blennosperma nanum var. nanum	0	1600	yes	yes
634	Blennosperma nanum var. robustum	0	100	yes	yes
635	Blepharipappus scaber	1000	3000	no	yes
636	Blepharizonia plumosa	0	1100	no	yes
637	Blepharizonia plumosa ssp. plumosa	0	400	yes	yes
638	Blepharizonia plumosa ssp. viscida	0	1100	yes	yes
639	Brickellia arguta	0	1500	no	yes
640	Brickellia arguta var. arguta	0	1500	no	yes
641	Brickellia arguta var. odontolepis	0	1500	no	yes
642	Brickellia atractyloides	600	1400	no	yes
643	Brickellia californica	0	2700	no	yes
644	Brickellia desertorum	200	1400	no	yes
645	Brickellia frutescens	600	1200	no	yes
646	Brickellia grandiflora	1500	2700	no	yes
647	Brickellia greenei	900	2700	yes	yes
648	Brickellia incana	0	1700	no	yes
649	Brickellia knappiana	800	1700	no	yes
650	Brickellia longifolia	1000	1700	no	yes
651	Brickellia microphylla	1000	2700	no	yes
652	Brickellia multiflora	600	2400	no	yes
653	Brickellia nevinii	300	1900	no	yes
654	Brickellia oblongifolia var. linifolia	0	2800	no	yes
655	Brickellia watsonii	1500	2400	no	yes
656	Cacaliopsis nardosmia	200	1900	no	yes
657	Calendula arvensis	0	200	no	no
658	Calendula officinalis	0	500	no	no
659	Calycadenia fremontii	100	1400	yes	yes
660	Calycadenia hooveri	0	300	yes	yes
661	Calycadenia mollis	150	1500	yes	yes
662	Calycadenia multiglandulosa	75	1000	no	yes
663	Calycadenia oppositifolia	0	900	yes	yes
664	Calycadenia pauciflora	100	1000	yes	yes
665	Calycadenia spicata	0	1400	yes	yes
666	Calycadenia truncata	0	1500	yes	yes
667	Calycadenia villosa	0	1100	yes	yes
668	Calycoseris parryi	0	2000	no	yes
669	Calycoseris wrightii	150	1150	no	yes
670	Carduus acanthoides	0	1300	no	no
671	Carduus nutans	100	1200	no	no
672	Carduus pycnocephalus	0	1000	no	no
673	Carduus tenuiflorus	0	1000	no	no
674	Carthamus baeticus	0	500	no	no
675	Carthamus lanatus	0	1100	no	no
676	Carthamus leucocaulos	0	200	no	no
677	Carthamus tinctorius	0	1000	no	no
678	Centaurea calcitrapa	0	1000	no	no
679	Centaurea cyanus	0	2000	no	no
680	Centaurea diffusa	0	2300	no	no
681	Centaurea diluta	0	100	no	no
682	Centaurea iberica	0	1000	no	no
683	Centaurea maculosa	0	2000	no	no
684	Centaurea melitensis	0	2200	no	no
685	Centaurea X-moncktonii	0	500	no	no
686	Centaurea nigra	0	500	no	no
687	Centaurea solstitialis	0	1300	no	no
688	Centaurea squarrosa	0	1400	no	no
689	Centaurea sulphurea	0	300	no	no
690	Chaenactis alpigena	2300	4000	no	yes
691	Chaenactis artemisiifolia	0	1600	yes	yes
692	Chaenactis carphoclinia	0	1900	no	yes
693	Chaenactis carphoclinia var. carphoclinia	0	1900	no	yes
694	Chaenactis carphoclinia var. peirsonii	0	500	no	yes
695	Chaenactis douglasii	1000	3500	no	yes
696	Chaenactis douglasii var. alpina	3000	3400	no	yes
697	Chaenactis douglasii var. douglasii	1000	3500	no	yes
698	Chaenactis fremontii	0	1600	no	yes
699	Chaenactis glabriuscula	0	1600	no	yes
700	Chaenactis glabriuscula var. glabriuscula	0	1600	no	yes
701	Chaenactis glabriuscula var. heterocarpha	0	1600	yes	yes
702	Chaenactis glabriuscula var. lanosa	0	700	no	yes
703	Chaenactis glabriuscula var. megacephala	0	1600	yes	yes
704	Chaenactis glabriuscula var. orcuttiana	0	100	yes	yes
705	Chaenactis macrantha	1000	2000	no	yes
706	Chaenactis nevadensis	1900	3200	no	yes
707	Chaenactis parishii	1300	2500	yes	yes
708	Chaenactis santolinoides	1500	2800	yes	yes
709	Chaenactis stevioides	0	2100	no	yes
710	Chaenactis suffrutescens	800	2100	yes	yes
711	Chaenactis xantiana	300	2500	no	yes
712	Chaetadelpha wheeleri	900	1900	no	yes
713	Chaetopappa ericoides	1300	2900	no	yes
714	Chamaemelum fuscatum	0	100	no	no
715	Chamaemelum nobile	0	100	no	no
716	Chamomilla occidentalis	0	2400	no	yes
717	Chamomilla suaveolens	0	800	no	no
718	Chloracantha spinosa var. spinosa	0	1250	no	yes
719	Chondrilla juncea	0	600	no	no
720	Chrysanthemum carinatum	0	100	no	no
721	Chrysanthemum coronarium	0	200	no	no
722	Chrysanthemum segetum	0	200	no	no
723	Chrysothamnus albidus	300	1300	no	yes
724	Chrysothamnus depressus	1000	2100	no	yes
725	Chrysothamnus gramineus	2200	2900	no	yes
726	Chrysothamnus greenei	1340	1830	no	yes
727	Chrysothamnus humilis	1400	3040	no	yes
728	Chrysothamnus nauseosus	50	3300	no	yes
729	Chrysothamnus nauseosus ssp. albicaulis	50	3300	no	yes
730	Chrysothamnus nauseosus ssp. bernardinus	1200	2900	no	yes
731	Chrysothamnus nauseosus ssp. ceruminosus	700	1700	no	yes
732	Chrysothamnus nauseosus ssp. consimilis	1000	2900	no	yes
733	Chrysothamnus nauseosus ssp. hololeucus	150	2500	no	yes
734	Chrysothamnus nauseosus ssp. leiospermus	700	2400	no	yes
735	Chrysothamnus nauseosus ssp. mohavensis	400	2400	no	yes
736	Chrysothamnus nauseosus ssp. washoensis	1500	1700	no	yes
737	Chrysothamnus paniculatus	400	1600	no	yes
738	Chrysothamnus parryi	700	3700	no	yes
739	Chrysothamnus parryi ssp. asper	1900	3300	no	yes
740	Chrysothamnus parryi ssp. imulus	2150	2250	yes	yes
741	Chrysothamnus parryi ssp. latior	700	1900	yes	yes
742	Chrysothamnus parryi ssp. monocephalus	2800	3700	no	yes
743	Chrysothamnus parryi ssp. nevadensis	1100	2700	no	yes
744	Chrysothamnus parryi ssp. vulcanicus	1400	3200	yes	yes
745	Chrysothamnus teretifolius	600	2400	no	yes
746	Chrysothamnus viscidiflorus	900	4000	no	yes
747	Chrysothamnus viscidiflorus ssp. axillaris	1300	2000	no	yes
748	Chrysothamnus viscidiflorus ssp. lanceolatus	1200	2500	no	yes
749	Chrysothamnus viscidiflorus ssp. puberulus	1500	3000	no	yes
750	Chrysothamnus viscidiflorus ssp. viscidiflorus	900	4000	no	yes
751	Cichorium endivia	0	200	no	no
752	Cichorium intybus	0	1500	no	no
753	Cirsium andersonii	1400	3150	no	yes
754	Cirsium andrewsii	0	100	yes	yes
755	Cirsium arizonicum	2400	3700	no	yes
756	Cirsium arvense	0	1800	no	no
757	Cirsium brevistylum	0	500	no	yes
758	Cirsium canovirens	1600	3400	no	yes
759	Cirsium ciliolatum	1000	1400	no	yes
760	Cirsium crassicaule	0	100	yes	yes
761	Cirsium cymosum	100	2100	no	yes
762	Cirsium douglasii	0	2200	no	yes
763	Cirsium douglasii var. breweri	1000	2200	no	yes
764	Cirsium douglasii var. douglasii	0	1000	yes	yes
765	Cirsium fontinale	0	750	no	yes
766	Cirsium fontinale var. campylon	300	750	yes	yes
767	Cirsium fontinale var. fontinale	70	170	yes	yes
768	Cirsium fontinale var. obispoense	0	300	yes	yes
769	Cirsium hydrophilum	0	450	no	yes
770	Cirsium hydrophilum var. hydrophilum	-50	50	yes	yes
771	Cirsium hydrophilum var. vaseyi	300	450	yes	yes
772	Cirsium loncholepis	0	50	yes	yes
773	Cirsium mohavense	400	2800	no	yes
774	Cirsium neomexicanum	800	2100	no	yes
775	Cirsium nidulum	1500	2300	no	yes
776	Cirsium occidentale	0	3600	no	yes
777	Cirsium occidentale var. californicum	0	2300	yes	yes
778	Cirsium occidentale var. candidissimum	0	1900	no	yes
779	Cirsium occidentale var. compactum	0	50	yes	yes
780	Cirsium occidentale var. occidentale	0	200	yes	yes
781	Cirsium occidentale var. venustum	0	3600	no	yes
782	Cirsium ochrocentrum	0	1700	no	no
783	Cirsium quercetorum	0	350	yes	yes
784	Cirsium remotifolium	0	2000	no	yes
785	Cirsium rhothophilum	0	20	yes	yes
786	Cirsium scariosum	700	3400	no	yes
787	Cirsium undulatum	0	1600	no	no
788	Cirsium vulgare	0	2300	no	no
789	Cnicus benedictus	0	800	no	no
790	Conyza bilbaoana	0	100	no	no
791	Conyza bonariensis	0	1000	no	no
792	Conyza canadensis	0	2000	no	yes
793	Conyza coulteri	0	1000	no	yes
794	Conyza floribunda	0	100	no	no
795	Coreopsis bigelovii	150	1500	no	yes
796	Coreopsis californica var. californica	30	600	no	yes
797	Coreopsis calliopsidea	200	1100	no	yes
798	Coreopsis douglasii	150	600	yes	yes
799	Coreopsis gigantea	15	60	yes	yes
800	Coreopsis hamiltonii	600	1300	yes	yes
801	Coreopsis lanceolata	0	500	no	no
802	Coreopsis maritima	0	20	yes	yes
803	Coreopsis stillmanii	30	900	yes	yes
804	Coreopsis tinctoria	0	1000	no	no
805	Coreopsis wrightii	0	350	no	no
806	Cosmos bipinnatus	0	1000	no	no
807	Cosmos sulphureus	0	1000	no	no
808	Cotula australis	0	250	no	no
809	Cotula coronopifolia	0	300	no	no
810	Crepis acuminata	1200	3300	no	yes
811	Crepis bakeri	1000	1900	no	yes
812	Crepis bursifolia	0	100	no	no
813	Crepis capillaris	0	1300	no	no
814	Crepis intermedia	1400	3300	no	yes
815	Crepis modocensis	1100	2900	no	yes
816	Crepis monticola	700	2400	yes	yes
817	Crepis nana	2600	3700	no	yes
818	Crepis occidentalis	800	2700	no	yes
819	Crepis pleurocarpa	400	1900	no	yes
820	Crepis runcinata	1250	1500	no	yes
821	Crepis runcinata ssp. andersonii	1450	1550	no	yes
822	Crepis runcinata ssp. hallii	1250	1450	no	yes
823	Crepis setosa	50	300	no	no
824	Crepis vesicaria ssp. taraxacifolia	0	300	no	no
825	Crocidium multicaule	0	1500	no	yes
826	Crupina vulgaris	200	300	no	no
827	Cynara cardunculus	0	500	no	no
828	Cynara scolymus	0	500	no	no
829	Dicoria canescens	0	1300	no	yes
830	Dimeresia howellii	1600	2300	no	yes
831	Dimorphotheca sinuata	0	1000	no	no
832	Dugaldia hoopesii	1500	3000	no	yes
833	Dyssodia papposa	0	350	no	no
834	Eastwoodia elegans	60	1250	yes	yes
835	Eatonella nivea	1350	2900	no	yes
836	Echinops sphaerocephalus	1250	1350	no	no
837	Eclipta prostrata	0	300	no	yes
838	Encelia actoni	800	1500	no	yes
839	Encelia californica	0	600	yes	yes
840	Encelia farinosa	0	1000	no	yes
841	Encelia farinosaXfrutescens	0	800	no	no
842	Encelia frutescens	0	800	no	yes
843	Encelia virginensis	500	1500	no	yes
844	Enceliopsis covillei	400	1250	no	yes
845	Enceliopsis nudicaulis	950	2000	no	yes
846	Erechtites glomerata	0	500	no	no
847	Erechtites hieraciifolia var. hieraciifolia	0	500	no	no
848	Erechtites minima	0	500	no	no
849	Ericameria arborescens	0	1200	yes	yes
850	Ericameria bloomeri	1000	2900	no	yes
851	Ericameria brachylepis	0	1400	no	yes
852	Ericameria cooperi var. cooperi	800	2000	no	yes
853	Ericameria cuneata	100	2800	no	yes
854	Ericameria cuneata var. cuneata	1000	2800	no	yes
855	Ericameria cuneata var. macrocephala	1800	1900	yes	yes
856	Ericameria cuneata var. spathulata	100	1900	no	yes
857	Ericameria discoidea	2700	3700	no	yes
858	Ericameria ericoides	0	500	yes	yes
859	Ericameria fasciculata	0	100	yes	yes
860	Ericameria gilmanii	2100	3400	no	yes
861	Ericameria greenei	1500	2200	no	yes
862	Ericameria laricifolia	1000	2000	no	yes
863	Ericameria linearifolia	0	2000	no	yes
864	Ericameria nana	2100	2800	no	yes
865	Ericameria ophitidis	1550	1650	yes	yes
866	Ericameria palmeri	0	800	no	yes
867	Ericameria palmeri var. pachylepis	0	800	no	yes
868	Ericameria palmeri var. palmeri	0	600	yes	yes
869	Ericameria parishii var. parishii	400	2200	yes	yes
870	Ericameria pinifolia	0	1700	no	yes
871	Ericameria suffruticosa	2400	3700	no	yes
872	Erigeron aequifolius	1500	2100	yes	yes
873	Erigeron algidus	2600	3700	no	yes
874	Erigeron aliceae	1300	2200	no	yes
875	Erigeron angustatus	0	150	yes	yes
876	Erigeron annuus	0	2000	no	no
877	Erigeron aphanactis	1300	2600	no	yes
878	Erigeron aphanactis var. aphanactis	1300	2600	no	yes
879	Erigeron aphanactis var. congestus	1800	2600	no	yes
880	Erigeron argentatus	2000	2300	no	yes
881	Erigeron austiniae	1200	1700	no	yes
882	Erigeron barbellulatus	2100	3300	yes	yes
883	Erigeron biolettii	0	1100	yes	yes
884	Erigeron blochmaniae	0	30	yes	yes
885	Erigeron bloomeri	600	2300	no	yes
886	Erigeron bloomeri var. bloomeri	800	2000	no	yes
887	Erigeron bloomeri var. nudatus	600	2300	no	yes
888	Erigeron breweri	300	3100	no	yes
889	Erigeron breweri var. bisanctus	300	1600	yes	yes
890	Erigeron breweri var. breweri	1200	3100	no	yes
891	Erigeron breweri var. covillei	1000	1900	no	yes
892	Erigeron breweri var. jacinteus	2700	2900	yes	yes
893	Erigeron breweri var. klamathensis	1600	2200	no	yes
894	Erigeron breweri var. porphyreticus	1200	2600	no	yes
895	Erigeron calvus	1150	1250	no	yes
896	Erigeron cervinus	900	1900	no	yes
897	Erigeron clokeyi	2200	3400	no	yes
898	Erigeron compactus	1800	2300	no	yes
899	Erigeron compositus	2000	4300	no	yes
900	Erigeron concinnus	1200	1800	no	yes
901	Erigeron concinnus var. concinnus	1200	1800	no	yes
902	Erigeron concinnus var. condensatus	1200	1800	no	yes
903	Erigeron coulteri	1900	3400	no	yes
904	Erigeron decumbens var. robustior	200	500	yes	yes
905	Erigeron divergens	500	2600	no	yes
906	Erigeron eatonii	1000	2900	no	yes
907	Erigeron eatonii var. nevadincola	1400	2900	no	yes
908	Erigeron eatonii var. plantagineus	1000	2500	no	yes
909	Erigeron eatonii var. sonnei	1800	2800	no	yes
910	Erigeron elegantulus	1000	2200	no	yes
911	Erigeron elmeri	1300	3300	yes	yes
912	Erigeron filifolius var. filifolius	1200	2000	no	yes
913	Erigeron foliosus	0	2900	no	yes
914	Erigeron foliosus var. confinis	0	2200	no	yes
915	Erigeron foliosus var. foliosus	0	2900	no	yes
916	Erigeron foliosus var. franciscensis	0	800	yes	yes
917	Erigeron foliosus var. hartwegii	100	600	yes	yes
918	Erigeron foliosus var. mendocinus	0	800	yes	yes
919	Erigeron glaucus	0	20	yes	yes
920	Erigeron inornatus	150	2300	no	yes
921	Erigeron inornatus var. calidipetris	1100	1400	no	yes
922	Erigeron inornatus var. inornatus	1100	1400	yes	yes
923	Erigeron inornatus var. keilii	1800	2200	yes	yes
924	Erigeron karvinskianus	0	1100	no	no
925	Erigeron lassenianus	600	2000	no	yes
926	Erigeron lassenianus var. deficiens	1200	1400	yes	yes
927	Erigeron lassenianus var. lassenianus	1200	1400	yes	yes
928	Erigeron linearis	1300	3100	no	yes
929	Erigeron lobatus	500	600	no	yes
930	Erigeron mariposanus	600	800	yes	yes
931	Erigeron miser	1900	2300	yes	yes
932	Erigeron multiceps	1500	2500	yes	yes
933	Erigeron parishii	800	2000	yes	yes
934	Erigeron peregrinus	1300	3400	no	yes
935	Erigeron peregrinus var. callianthemus	1300	3400	no	yes
936	Erigeron peregrinus var. hirsutus	2200	3200	no	yes
937	Erigeron petrophilus	300	2700	no	yes
938	Erigeron petrophilus var. petrophilus	500	2100	yes	yes
939	Erigeron petrophilus var. sierrensis	300	1900	yes	yes
940	Erigeron petrophilus var. viscidulus	1500	2700	no	yes
941	Erigeron philadelphicus	0	1200	no	yes
942	Erigeron pumilus var. intermedius	1200	1800	no	yes
943	Erigeron pygmaeus	2900	4100	no	yes
944	Erigeron reductus	600	2400	no	yes
945	Erigeron reductus var. angustatus	600	1400	yes	yes
946	Erigeron reductus var. reductus	700	2400	yes	yes
947	Erigeron sanctarum	0	300	yes	yes
948	Erigeron serpentinus	400	600	yes	yes
949	Erigeron strigosus	0	1100	no	no
950	Erigeron supplex	0	50	yes	yes
951	Erigeron tener	2300	3400	no	yes
952	Erigeron uncialis var. uncialis	2100	2900	no	yes
953	Erigeron utahensis	1450	1550	no	yes
954	Erigeron vagus	3300	4400	no	yes
955	Eriophyllum ambiguum	0	2800	no	yes
956	Eriophyllum ambiguum var. ambiguum	200	1900	yes	yes
957	Eriophyllum ambiguum var. paleaceum	100	2800	no	yes
958	Eriophyllum confertiflorum	0	3000	no	yes
959	Eriophyllum confertiflorum var. confertiflorum	0	3000	no	yes
960	Eriophyllum confertiflorum var. tanacetiflorum	600	800	yes	yes
961	Eriophyllum congdonii	500	1900	yes	yes
962	Eriophyllum jepsonii	200	1000	yes	yes
963	Eriophyllum lanatum	0	4000	no	yes
964	Eriophyllum lanatum var. achillaeoides	0	1300	no	yes
965	Eriophyllum lanatum var. arachnoideum	0	400	yes	yes
966	Eriophyllum lanatum var. croceum	1300	2000	yes	yes
967	Eriophyllum lanatum var. grandiflorum	0	1700	yes	yes
968	Eriophyllum lanatum var. hallii	1200	1500	yes	yes
969	Eriophyllum lanatum var. integrifolium	1400	3500	no	yes
970	Eriophyllum lanatum var. lanceolatum	200	2200	no	yes
971	Eriophyllum lanatum var. obovatum	1300	2500	yes	yes
972	Eriophyllum lanosum	0	1400	no	yes
973	Eriophyllum latilobum	100	150	yes	yes
974	Eriophyllum mohavense	500	800	no	yes
975	Eriophyllum multicaule	0	1600	yes	yes
976	Eriophyllum nevinii	0	35	yes	yes
977	Eriophyllum nubigenum	1800	2500	yes	yes
978	Eriophyllum pringlei	300	2200	no	yes
979	Eriophyllum staechadifolium	0	100	yes	yes
980	Eriophyllum wallacei	0	2400	no	yes
981	Euthamia occidentalis	0	2300	no	yes
982	Filago arizonica	0	800	no	yes
983	Filago californica	0	1800	no	yes
984	Filago depressa	0	1500	no	yes
985	Filago gallica	0	1400	no	no
986	Filago pyramidata var. pyramidata	100	500	no	no
987	Flaveria trinervia	0	200	no	no
988	Gaillardia aristata	0	2000	no	no
989	Gaillardia pulchella	0	1000	no	no
990	Galinsoga parviflora var. parviflora	0	1000	no	no
991	Galinsoga quadriradiata	0	200	no	no
992	Gazania linearis	0	200	no	no
993	Geraea canescens	0	1300	no	yes
994	Geraea viscida	450	1700	yes	yes
995	Glyptopleura marginata	600	2100	no	yes
996	Gnaphalium bicolor	0	600	yes	yes
997	Gnaphalium californicum	0	1800	no	yes
998	Gnaphalium canescens	0	2500	no	yes
999	Gnaphalium canescens ssp. beneolens	0	1200	yes	yes
1000	Gnaphalium canescens ssp. canescens	0	2000	no	yes
1001	Gnaphalium canescens ssp. microcephalum	0	900	yes	yes
1002	Gnaphalium canescens ssp. thermale	1000	2500	no	yes
1003	Gnaphalium collinum	0	800	no	no
1004	Gnaphalium japonicum	0	700	no	no
1005	Gnaphalium leucocephalum	0	150	no	yes
1006	Gnaphalium luteo-album	0	2100	no	no
1007	Gnaphalium palustre	0	2700	no	yes
1008	Gnaphalium purpureum	0	1200	no	yes
1009	Gnaphalium ramosissimum	0	600	yes	yes
1010	Gnaphalium stramineum	0	2000	no	yes
1011	Grindelia camporum	0	1400	no	yes
1012	Grindelia camporum var. bracteosum	150	1400	yes	yes
1013	Grindelia camporum var. camporum	150	1400	yes	yes
1014	Grindelia fraxino-pratensis	650	750	no	yes
1015	Grindelia hirsutula	0	1700	no	yes
1016	Grindelia hirsutula var. davyi	0	1700	yes	yes
1017	Grindelia hirsutula var. hallii	800	1700	no	yes
1018	Grindelia hirsutula var. hirsutula	0	900	no	yes
1019	Grindelia hirsutula var. maritima	0	400	yes	yes
1020	Grindelia nana	100	1800	no	yes
1021	Grindelia squarrosa var. serrulata	0	1000	no	no
1022	Grindelia stricta	0	200	no	yes
1023	Grindelia stricta var. angustifolia	0	10	yes	yes
1024	Grindelia stricta var. platyphylla	0	200	yes	yes
1025	Grindelia stricta var. stricta	0	500	no	yes
1026	Guizotia abyssinica	0	200	no	no
1027	Gutierrezia californica	100	300	yes	yes
1028	Gutierrezia microcephala	1800	2500	no	yes
1029	Gutierrezia sarothrae	50	2900	no	yes
1030	Hazardia brickellioides	700	2100	no	yes
1031	Hazardia cana	200	500	no	yes
1032	Hazardia detonsa	0	300	yes	yes
1033	Hazardia orcuttii	0	200	yes	yes
1034	Hazardia squarrosa	0	1300	no	yes
1035	Hazardia squarrosa var. grindelioides	100	1300	yes	yes
1036	Hazardia squarrosa var. obtusa	600	1200	yes	yes
1037	Hazardia squarrosa var. squarrosa	0	700	yes	yes
1038	Hazardia stenolepis	150	1200	yes	yes
1039	Hazardia whitneyi	1000	3500	no	yes
1040	Hazardia whitneyi var. discoidea	1000	2500	no	yes
1041	Hazardia whitneyi var. whitneyi	1200	3500	yes	yes
1042	Hecastocleis shockleyi	1200	2200	no	yes
1043	Hedypnois cretica	0	750	no	no
1044	Helenium amarum	0	100	no	no
1045	Helenium autumnale	0	2000	no	yes
1046	Helenium autumnale var. grandiflorum	0	500	no	yes
1047	Helenium autumnale var. montanum	500	2000	no	yes
1048	Helenium bigelovii	0	3000	yes	yes
1049	Helenium bolanderi	0	100	no	yes
1050	Helenium puberulum	0	1200	no	yes
1051	Helianthella californica	0	2600	no	yes
1052	Helianthella californica var. californica	0	1000	yes	yes
1053	Helianthella californica var. nevadensis	250	2600	yes	yes
1054	Helianthella californica var. shastensis	1000	2600	yes	yes
