id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
526	Arnica cordifolia	1200	3000	no	yes
527	Arnica discoidea	500	1500	no	yes
528	Arnica diversifolia	1800	3400	no	yes
529	Arnica fulgens	1800	2700	no	yes
530	Arnica latifolia	1800	2400	no	yes
531	Arnica longifolia	1800	3500	no	yes
532	Arnica mollis	2500	3500	no	yes
533	Arnica nevadensis	2000	3000	no	yes
534	Arnica parryi	600	2400	no	yes
535	Arnica sororia	1400	1800	no	yes
536	Arnica spathulata	1000	1800	yes	yes
537	Arnica tomentella	1500	2200	yes	yes
538	Arnica venosa	400	1400	yes	yes
539	Arnica viscosa	2000	2500	yes	yes
540	Artemisia annua	0	1000	no	no
541	Artemisia arbuscula	1500	3800	no	yes
542	Artemisia arbuscula ssp. arbuscula	1500	3800	no	yes
543	Artemisia arbuscula ssp. thermopola	2200	2500	yes	yes
544	Artemisia biennis	0	2200	no	no
545	Artemisia bigelovii	1300	1900	no	yes
546	Artemisia californica	0	800	yes	yes
547	Artemisia campestris ssp. borealis	2150	2250	no	yes
548	Artemisia cana ssp. bolanderi	1600	3300	no	yes
549	Artemisia douglasiana	0	2200	no	yes
550	Artemisia dracunculus	0	3400	no	yes
551	Artemisia ludoviciana	0	3500	no	yes
552	Artemisia ludoviciana ssp. albula	0	1400	no	yes
553	Artemisia ludoviciana ssp. candicans	0	2400	no	yes
554	Artemisia ludoviciana ssp. incompta	0	3500	no	yes
555	Artemisia ludoviciana ssp. ludoviciana	0	2600	no	yes
556	Artemisia michauxiana	3000	3500	no	yes
557	Artemisia nesiotica	0	100	yes	yes
558	Artemisia norvegica ssp. saxatilis	2300	3800	no	yes
559	Artemisia nova	0	2300	no	yes
560	Artemisia palmeri	0	600	yes	yes
561	Artemisia pycnocephala	0	200	yes	yes
562	Artemisia rothrockii	2000	3100	no	yes
563	Artemisia spiciformis	2100	3700	no	yes
564	Artemisia spinescens	900	1600	no	yes
565	Artemisia suksdorfii	0	300	no	yes
566	Artemisia tridentata	300	3000	no	yes
567	Artemisia tridentata ssp. parishii	300	2000	no	yes
568	Artemisia tridentata ssp. tridentata	800	1900	no	yes
569	Artemisia tridentata ssp. vaseyana	1800	3000	no	yes
570	Artemisia tridentata ssp. wyomingensis	0	2200	no	yes
571	Aster alpigenus var. andersonii	1500	3700	no	yes
572	Aster ascendens	500	2000	no	yes
573	Aster bernardinus	0	1500	yes	yes
574	Aster breweri	1500	2700	yes	yes
575	Aster brickellioides	600	2000	yes	yes
576	Aster campestris	1800	2700	no	yes
577	Aster chilensis	0	500	no	yes
578	Aster eatonii	500	2000	no	yes
579	Aster engelmannii	1800	2000	no	yes
