id	taxon	N	country	state	county	place.name	collection	accession	notes	created.by	created.date	modified.by	modified.date	source.family	source.taxon	source.genus	source.species	source.subspp.taxa	source.original.location	collection.type	collection.date	source.N	sun_shade	RefFile	RefRecord	Notes	blade_area_cm2	specific_leaf_area_cm2_g-1	blade_length_cm	blade_width_cm	leaf_thickness_micron	Num_lflets
77	Arctostaphylos manzanita ssp. manzanita	4	NA	NA	NA	NA	UCBG	84.0008		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos manzanita ssp. Manzanita	Arctostaphylos	manzanita	ssp._Manzanita		botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	13		9.27	43.54				1
78	Arctostaphylos nummularia	6	NA	NA	NA	NA	SABG	87-0791		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos nummularia	Arctostaphylos	nummularia			botanic garden	11/02/01	6	Sun	Strybing110201.xls/data	7		1.14	45.27				1
79	Arctostaphylos nummularia	8	NA	NA	NA	NA	SABG	87-0791		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos nummularia	Arctostaphylos	nummularia			botanic garden	11/02/01	8	Sun	Strybing110201.xls/data	8		0.94	40.32				1
80	Arctostaphylos nummularia	10	NA	NA	NA	NA	UCBG	80.0803		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos nummularia	Arctostaphylos	nummularia			botanic garden	11/20/01	10	Sun	LfDat01.xls/UCBG11.20.01	16		1.29	56.57				1
81	Arctostaphylos nummularia	7	NA	NA	NA	NA	UCBG	82.1431		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos nummularia	Arctostaphylos	nummularia			botanic garden	11/20/01	7	Sun	LfDat01.xls/UCBG11.20.01	15		1.61	60.10				1
82	Arctostaphylos nummularia	5	NA	NA	NA	NA	UCBG	82.1431		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos nummularia	Arctostaphylos	nummularia			botanic garden	11/20/01	5	Sun	LfDat01.xls/UCBG11.20.01	14		1.33	56.72				1
83	Arctostaphylos nummularia	10	NA	NA	NA	NA	UCBG	83.1172		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos nummularia	Arctostaphylos	nummularia			botanic garden	11/20/01	10	Sun	LfDat01.xls/UCBG11.20.01	17		0.64	53.16				1
84	Arctostaphylos obispoensis	4	NA	NA	NA	NA	SABG	70-0006		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos obispoensis	Arctostaphylos	obispoensis			botanic garden	11/02/01	4	Sun	Strybing110201.xls/data	9		4.43	39.02				1
85	Arctostaphylos pajaroensis	3	NA	NA	NA	NA	SABG	98-0532		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos pajaroensis	Arctostaphylos	pajaroensis			botanic garden	11/02/01	3	Sun	Strybing110201.xls/data	10		5.16	41.03				1
86	Arctostaphylos pajaroensis	4	NA	NA	NA	NA	UCBG	56.0918		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos pajaroensis	Arctostaphylos	pajaroensis			botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	18		4.10	57.31				1
87	Arctostaphylos pilosula	4	NA	NA	NA	NA	SABG	68-0082		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos pilosula	Arctostaphylos	pilosula			botanic garden	11/02/01	4	Sun	Strybing110201.xls/data	11		2.94	56.00				1
88	Arctostaphylos pumila	4	NA	NA	NA	NA	SABG	91-0653		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos pumila	Arctostaphylos	pumila			botanic garden	11/02/01	4	Sun	Strybing110201.xls/data	12		0.96	51.04				1
89	Arctostaphylos purissima	5	NA	NA	NA	NA	UCBG	89.0145		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos purissima	Arctostaphylos	purissima			botanic garden	11/20/01	5	Sun	LfDat01.xls/UCBG11.20.01	19		2.04	48.18				1
90	Arctostaphylos rudis	4	NA	NA	NA	NA	SABG	64-0118		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos rudis	Arctostaphylos	rudis			botanic garden	11/02/01	4	Sun	Strybing110201.xls/data	13		3.68	43.35				1
91	Arctostaphylos stanfordiana ssp. decumbens	4	NA	NA	NA	NA	UCBG			D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos stanfordiana ssp. decumbens	Arctostaphylos	stanfordiana	ssp._decumbens		botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	20		3.75	44.63				1
