id	means.id	source	source.id	taxon	trait	dstate	cval	units	country	state	county	place	lat	long
187	79	bsh	735	Ceanothus gloriosus var. exaltatus	seed_mass	NA	5.772	mg	USA	CA	NA	NA	NA	NA
188	80	bsh	734	Ceanothus gloriosus var. gloriosus	seed_mass	NA	5.936	mg	USA	CA	NA	NA	NA	NA
189	81	bsh	736	Ceanothus gloriosus var. porrectus	seed_mass	NA	3.76	mg	USA	CA	NA	NA	NA	NA
190	99	bsh	737	Ceanothus greggii var. perplexans	seed_mass	NA	7.434	mg	USA	CA	NA	NA	NA	NA
191	82	bsh	739	Ceanothus griseus	seed_mass	NA	2.83	mg	USA	CA	NA	NA	NA	NA
192	82	bsh	741	Ceanothus griseus	seed_mass	NA	2.793	mg	USA	CA	NA	NA	NA	NA
193	82	bsh	742	Ceanothus griseus	seed_mass	NA	2.367	mg	USA	CA	NA	NA	NA	NA
194	83	bsh	743	Ceanothus impressus	seed_mass	NA	4.428	mg	USA	CA	NA	NA	NA	NA
195	83	bsh	744	Ceanothus impressus	seed_mass	NA	4.086	mg	USA	CA	NA	NA	NA	NA
196	84	bsh	745	Ceanothus incanus	seed_mass	NA	5.924	mg	USA	CA	NA	NA	NA	NA
197	85	bsh	746	Ceanothus integerrimus	seed_mass	NA	6.479	mg	USA	CA	NA	NA	NA	NA
198	85	bsh	747	Ceanothus integerrimus	seed_mass	NA	4.967	mg	USA	CA	NA	NA	NA	NA
199	86	bsh	748	Ceanothus jepsonii var. jepsonii	seed_mass	NA	4.644	mg	USA	CA	NA	NA	NA	NA
200	87	bsh	749	Ceanothus lemmonii	seed_mass	NA	4.354	mg	USA	CA	NA	NA	NA	NA
201	88	bsh	750	Ceanothus maritimus	seed_mass	NA	9.445	mg	USA	CA	NA	NA	NA	NA
202	89	bsh	751	Ceanothus megacarpus var. megacarpus	seed_mass	NA	24.008	mg	USA	CA	NA	NA	NA	NA
203	90	bsh	769	Ceanothus oliganthus var. sorediatus	seed_mass	NA	3.714	mg	USA	CA	NA	NA	NA	NA
204	90	bsh	770	Ceanothus oliganthus var. sorediatus	seed_mass	NA	3.048	mg	USA	CA	NA	NA	NA	NA
205	100	bsh	752	Ceanothus palmeri	seed_mass	NA	2.115	mg	USA	CA	NA	NA	NA	NA
206	101	bsh	753	Ceanothus papillosus var. papillosus	seed_mass	NA	2.195	mg	USA	CA	NA	NA	NA	NA
207	102	bsh	754	Ceanothus papillosus var. roweanus	seed_mass	NA	2.366	mg	USA	CA	NA	NA	NA	NA
208	102	bsh	755	Ceanothus papillosus var. roweanus	seed_mass	NA	1.7	mg	USA	CA	NA	NA	NA	NA
209	102	bsh	756	Ceanothus papillosus var. roweanus	seed_mass	NA	2.545	mg	USA	CA	NA	NA	NA	NA
210	103	bsh	758	Ceanothus parryi	seed_mass	NA	3.802	mg	USA	CA	NA	NA	NA	NA
211	103	bsh	759	Ceanothus parryi	seed_mass	NA	2.736	mg	USA	CA	NA	NA	NA	NA
212	91	bsh	760	Ceanothus prostratus	seed_mass	NA	6.175	mg	USA	CA	NA	NA	NA	NA
213	91	bsh	761	Ceanothus prostratus	seed_mass	NA	11.339	mg	USA	CA	NA	NA	NA	NA
214	92	bsh	763	Ceanothus purpureus	seed_mass	NA	6.83	mg	USA	CA	NA	NA	NA	NA
215	93	bsh	771	Ceanothus spinosus	seed_mass	NA	7.41	mg	USA	CA	NA	NA	NA	NA
216	94	bsh	772	Ceanothus thyrsiflorus	seed_mass	NA	1.98	mg	USA	CA	NA	NA	NA	NA
217	94	bsh	773	Ceanothus thyrsiflorus	seed_mass	NA	2.05	mg	USA	CA	NA	NA	NA	NA
218	94	bsh	774	Ceanothus thyrsiflorus	seed_mass	NA	2.772	mg	USA	CA	NA	NA	NA	NA
219	95	bsh	775	Ceanothus tomentosus	seed_mass	NA	2.648	mg	USA	CA	NA	NA	NA	NA
220	104	bsh	776	Ceanothus velutinus var. velutinus	seed_mass	NA	4.85	mg	USA	CA	NA	NA	NA	NA
221	96	bsh	777	Ceanothus verrucosus	seed_mass	NA	4.929	mg	USA	CA	NA	NA	NA	NA
