id	taxon	trait	value	units	created.by	created.date
304	Ligusticum californicum	Low elevation	0	m	D. Ackerly	7/21/06
305	Ligusticum grayi	Low elevation	1400	m	D. Ackerly	7/21/06
306	Lilaeopsis masonii	Low elevation	0	m	D. Ackerly	7/21/06
307	Lilaeopsis occidentalis	Low elevation	0	m	D. Ackerly	7/21/06
308	Lomatium bicolor var. leptocarpum	Low elevation	1000	m	D. Ackerly	7/21/06
309	Lomatium californicum	Low elevation	100	m	D. Ackerly	7/21/06
310	Lomatium canbyi	Low elevation	1900	m	D. Ackerly	7/21/06
311	Lomatium caruifolium	Low elevation	0	m	D. Ackerly	7/21/06
312	Lomatium caruifolium var. caruifolium	Low elevation	0	m	D. Ackerly	7/21/06
313	Lomatium caruifolium var. denticulatum	Low elevation	0	m	D. Ackerly	7/21/06
314	Lomatium ciliolatum	Low elevation	1200	m	D. Ackerly	7/21/06
315	Lomatium ciliolatum var. ciliolatum	Low elevation	1200	m	D. Ackerly	7/21/06
316	Lomatium ciliolatum var. hooveri	Low elevation	300	m	D. Ackerly	7/21/06
317	Lomatium congdonii	Low elevation	300	m	D. Ackerly	7/21/06
318	Lomatium dasycarpum	Low elevation	0	m	D. Ackerly	7/21/06
319	Lomatium dasycarpum ssp. dasycarpum	Low elevation	0	m	D. Ackerly	7/21/06
320	Lomatium dasycarpum ssp. tomentosum	Low elevation	0	m	D. Ackerly	7/21/06
321	Lomatium dissectum	Low elevation	100	m	D. Ackerly	7/21/06
322	Lomatium dissectum var. dissectum	Low elevation	100	m	D. Ackerly	7/21/06
323	Lomatium dissectum var. multifidum	Low elevation	600	m	D. Ackerly	7/21/06
324	Lomatium engelmannii	Low elevation	1100	m	D. Ackerly	7/21/06
325	Lomatium foeniculaceum	Low elevation	1600	m	D. Ackerly	7/21/06
326	Lomatium foeniculaceum ssp. fimbriatum	Low elevation	1600	m	D. Ackerly	7/21/06
327	Lomatium foeniculaceum ssp. inyoense	Low elevation	0	m	D. Ackerly	7/21/06
328	Lomatium hallii	Low elevation	100	m	D. Ackerly	7/21/06
329	Lomatium howellii	Low elevation	100	m	D. Ackerly	7/21/06
330	Lomatium insulare	Low elevation	0	m	D. Ackerly	7/21/06
331	Lomatium lucidum	Low elevation	400	m	D. Ackerly	7/21/06
332	Lomatium macrocarpum	Low elevation	100	m	D. Ackerly	7/21/06
333	Lomatium marginatum	Low elevation	200	m	D. Ackerly	7/21/06
334	Lomatium marginatum var. marginatum	Low elevation	200	m	D. Ackerly	7/21/06
335	Lomatium marginatum var. purpureum	Low elevation	300	m	D. Ackerly	7/21/06
336	Lomatium martindalei	Low elevation	200	m	D. Ackerly	7/21/06
337	Lomatium mohavense	Low elevation	1000	m	D. Ackerly	7/21/06
338	Lomatium nevadense	Low elevation	1000	m	D. Ackerly	7/21/06
339	Lomatium nevadense var. nevadense	Low elevation	1500	m	D. Ackerly	7/21/06
340	Lomatium nevadense var. parishii	Low elevation	1000	m	D. Ackerly	7/21/06
341	Lomatium nudicaule	Low elevation	100	m	D. Ackerly	7/21/06
342	Lomatium parryi	Low elevation	1500	m	D. Ackerly	7/21/06
343	Lomatium parvifolium	Low elevation	0	m	D. Ackerly	7/21/06
344	Lomatium peckianum	Low elevation	800	m	D. Ackerly	7/21/06
345	Lomatium piperi	Low elevation	1000	m	D. Ackerly	7/21/06
346	Lomatium plummerae	Low elevation	1500	m	D. Ackerly	7/21/06
347	Lomatium ravenii	Low elevation	1000	m	D. Ackerly	7/21/06
348	Lomatium repostum	Low elevation	100	m	D. Ackerly	7/21/06
349	Lomatium rigidum	Low elevation	1200	m	D. Ackerly	7/21/06
350	Lomatium shevockii	Low elevation	2200	m	D. Ackerly	7/21/06
351	Lomatium stebbinsii	Low elevation	1200	m	D. Ackerly	7/21/06
352	Lomatium torreyi	Low elevation	1100	m	D. Ackerly	7/21/06
353	Lomatium tracyi	Low elevation	500	m	D. Ackerly	7/21/06
354	Lomatium triternatum	Low elevation	200	m	D. Ackerly	7/21/06
355	Lomatium triternatum var. macrocarpum	Low elevation	200	m	D. Ackerly	7/21/06
356	Lomatium triternatum var. triternatum	Low elevation	200	m	D. Ackerly	7/21/06
357	Lomatium utriculatum	Low elevation	0	m	D. Ackerly	7/21/06
358	Lomatium vaginatum	Low elevation	600	m	D. Ackerly	7/21/06
359	Oenanthe pimpinelloides	Low elevation	1400	m	D. Ackerly	7/21/06
360	Oenanthe sarmentosa	Low elevation	0	m	D. Ackerly	7/21/06
361	Oreonana clementis	Low elevation	1700	m	D. Ackerly	7/21/06
362	Oreonana purpurascens	Low elevation	2500	m	D. Ackerly	7/21/06
363	Oreonana vestita	Low elevation	2400	m	D. Ackerly	7/21/06
364	Orogenia fusiformis	Low elevation	1500	m	D. Ackerly	7/21/06
365	Osmorhiza brachypoda	Low elevation	200	m	D. Ackerly	7/21/06
