id	group	family	taxon	binomial	taxon.auth	genus	species	speciesAuth	intraRank	intraName	intraAuth	tjm1.valid	mrt	intra_rank	species_rank_or_only_subsp_in_CA
117	Gymno	Cupressaceae	Cupressus forbesii	Cupressus forbesii	Cupressus forbesii Jeps.	Cupressus	forbesii	Jeps.				1	1	0	1
118	Gymno	Cupressaceae	Cupressus goveniana	Cupressus goveniana	Cupressus goveniana Gordon	Cupressus	goveniana	Gordon				1	0	0	1
119	Gymno	Cupressaceae	Cupressus goveniana ssp. goveniana	Cupressus goveniana	Cupressus goveniana Gordon ssp. goveniana	Cupressus	goveniana	Gordon	ssp.	goveniana		1	1	1	0
120	Gymno	Cupressaceae	Cupressus goveniana ssp. pigmaea	Cupressus goveniana	Cupressus goveniana Gordon ssp. pigmaea (Lemmon) Bartel	Cupressus	goveniana	Gordon	ssp.	pigmaea	(Lemmon) Bartel	1	1	1	0
121	Gymno	Cupressaceae	Cupressus lawsoniana	Cupressus lawsoniana	Cupressus lawsoniana A. Murray	Cupressus	lawsoniana	A. Murray				1	1	0	1
122	Gymno	Cupressaceae	Cupressus macnabiana	Cupressus macnabiana	Cupressus macnabiana A. Murray	Cupressus	macnabiana	A. Murray				1	1	0	1
123	Gymno	Cupressaceae	Cupressus macrocarpa	Cupressus macrocarpa	Cupressus macrocarpa Gordon	Cupressus	macrocarpa	Gordon				1	1	0	1
124	Gymno	Cupressaceae	Cupressus nootkatensis	Cupressus nootkatensis	Cupressus nootkatensis D. Don	Cupressus	nootkatensis	D. Don				1	1	0	1
125	Gymno	Cupressaceae	Cupressus sargentii	Cupressus sargentii	Cupressus sargentii Jeps.	Cupressus	sargentii	Jeps.				1	1	0	1
126	Gymno	Cupressaceae	Juniperus californica	Juniperus californica	Juniperus californica Carrière	Juniperus	californica	Carrière 				1	1	0	1
127	Gymno	Cupressaceae	Juniperus communis	Juniperus communis	Juniperus communis L.	Juniperus	communis	L.				1	1	0	1
128	Gymno	Cupressaceae	Juniperus occidentalis	Juniperus occidentalis	Juniperus occidentalis Hook.	Juniperus	occidentalis	Hook.				1	0	0	1
129	Gymno	Cupressaceae	Juniperus occidentalis var. australis	Juniperus occidentalis	Juniperus occidentalis Hook. var. australis (Vasek) A.H. Holmgren & N.H. Holmgren	Juniperus	occidentalis	Hook.	var.	australis	(Vasek) A.H. Holmgren & N.H. Holmgren	1	1	1	0
130	Gymno	Cupressaceae	Juniperus occidentalis var. occidentalis	Juniperus occidentalis	Juniperus occidentalis Hook. var. occidentalis	Juniperus	occidentalis	Hook.	var.	occidentalis		1	1	1	0
131	Gymno	Cupressaceae	Juniperus osteosperma	Juniperus osteosperma	Juniperus osteosperma (Torrey) Little	Juniperus	osteosperma	(Torrey) Little				1	1	0	1
132	Gymno	Cupressaceae	Thuja plicata	Thuja plicata	Thuja plicata D. Don	Thuja	plicata	D. Don				1	1	0	1
133	Gymno	Ephedraceae	Ephedra aspera	Ephedra aspera	Ephedra aspera S. Watson	Ephedra	aspera	S. Watson				1	1	0	1
134	Gymno	Ephedraceae	Ephedra californica	Ephedra californica	Ephedra californica S. Watson	Ephedra	californica	S. Watson				1	1	0	1
135	Gymno	Ephedraceae	Ephedra fasciculata	Ephedra fasciculata	Ephedra fasciculata Nelson	Ephedra	fasciculata	Nelson				1	0	0	1
136	Gymno	Ephedraceae	Ephedra fasciculata var. clokeyi	Ephedra fasciculata	Ephedra fasciculata Nelson var. clokeyi (Cutler) Clokey	Ephedra	fasciculata	Nelson	var.	clokeyi	(Cutler) Clokey	1	1	1	0
137	Gymno	Ephedraceae	Ephedra fasciculata var. fasciculata	Ephedra fasciculata	Ephedra fasciculata Nelson var. fasciculata	Ephedra	fasciculata	Nelson	var.	fasciculata		1	1	1	0
138	Gymno	Ephedraceae	Ephedra funerea	Ephedra funerea	Ephedra funerea Coville & C. Morton	Ephedra	funerea	Coville & C. Morton				1	1	0	1
139	Gymno	Ephedraceae	Ephedra nevadensis	Ephedra nevadensis	Ephedra nevadensis S. Watson	Ephedra	nevadensis	S. Watson				1	1	0	1
140	Gymno	Ephedraceae	Ephedra trifurca	Ephedra trifurca	Ephedra trifurca Torrey	Ephedra	trifurca	Torrey				1	1	0	1
